Date,VIX
7/16/2020,27.53
7/15/2020,27.76
7/14/2020,29.52
7/13/2020,32.19
7/10/2020,27.29
7/9/2020,29.26
7/8/2020,28.08
7/7/2020,29.43
7/6/2020,27.94
7/2/2020,27.68
7/1/2020,28.62
6/30/2020,30.43
6/29/2020,31.78
6/26/2020,34.73
6/25/2020,32.22
6/24/2020,33.84
6/23/2020,31.37
6/22/2020,31.77
6/19/2020,35.12
6/18/2020,32.94
6/17/2020,33.47
6/16/2020,33.67
6/15/2020,34.4
6/12/2020,36.09
6/11/2020,40.79
6/10/2020,27.57
6/9/2020,27.57
6/8/2020,25.81
6/5/2020,24.52
6/4/2020,25.81
6/3/2020,25.66
6/2/2020,26.84
6/1/2020,28.23
5/29/2020,27.51
5/28/2020,28.59
5/27/2020,27.62
5/26/2020,28.01
5/22/2020,28.16
5/21/2020,29.53
5/20/2020,27.99
5/19/2020,30.53
5/18/2020,29.3
5/15/2020,31.89
5/14/2020,32.61
5/13/2020,35.28
5/12/2020,33.04
5/11/2020,27.57
5/8/2020,27.98
5/7/2020,31.44
5/6/2020,34.12
5/5/2020,33.61
5/4/2020,35.97
5/1/2020,37.19
4/30/2020,34.15
4/29/2020,31.23
4/28/2020,33.57
4/27/2020,33.29
4/24/2020,35.93
4/23/2020,41.38
4/22/2020,41.98
4/21/2020,45.41
4/20/2020,43.83
4/17/2020,38.15
4/16/2020,40.11
4/15/2020,40.84
4/14/2020,37.76
4/13/2020,41.17
4/9/2020,41.67
4/8/2020,43.35
4/7/2020,46.7
4/6/2020,45.24
4/3/2020,46.8
4/2/2020,50.91
4/1/2020,57.06
3/31/2020,53.54
3/30/2020,57.08
3/27/2020,65.54
3/26/2020,61
3/25/2020,63.95
3/24/2020,61.67
3/23/2020,61.59
3/20/2020,66.04
3/19/2020,72
3/18/2020,76.45
3/17/2020,75.91
3/16/2020,82.69
3/13/2020,57.83
3/12/2020,75.47
3/11/2020,53.9
3/10/2020,47.3
3/9/2020,54.46
3/6/2020,41.94
3/5/2020,39.62
3/4/2020,31.99
3/3/2020,36.82
3/2/2020,33.42
2/28/2020,40.11
2/27/2020,39.16
2/26/2020,27.56
2/25/2020,27.85
2/24/2020,25.03
2/21/2020,17.08
2/20/2020,15.56
2/19/2020,14.38
2/18/2020,14.83
2/14/2020,13.68
2/13/2020,14.15
2/12/2020,13.74
2/11/2020,15.18
2/10/2020,15.04
2/7/2020,15.47
2/6/2020,14.96
2/5/2020,15.15
2/4/2020,16.05
2/3/2020,17.97
1/31/2020,18.84
1/30/2020,15.49
1/29/2020,16.39
1/28/2020,16.28
1/27/2020,18.23
1/24/2020,14.56
1/23/2020,12.98
1/22/2020,12.91
1/21/2020,12.85
1/17/2020,12.1
1/16/2020,12.32
1/15/2020,12.42
1/14/2020,12.39
1/13/2020,12.32
1/10/2020,12.56
1/9/2020,12.54
1/8/2020,13.45
1/7/2020,13.79
1/6/2020,13.85
1/3/2020,14.02
1/2/2020,12.47
12/31/2019,13.78
12/30/2019,14.82
12/27/2019,13.43
12/26/2019,12.65
12/24/2019,12.67
12/23/2019,12.61
12/20/2019,12.51
12/19/2019,12.5
12/18/2019,12.58
12/17/2019,12.29
12/16/2019,12.14
12/13/2019,12.63
12/12/2019,13.94
12/11/2019,14.99
12/10/2019,15.68
12/9/2019,15.86
12/6/2019,13.62
12/5/2019,14.52
12/4/2019,14.8
12/3/2019,15.96
12/2/2019,14.91
11/29/2019,12.62
11/27/2019,11.75
11/26/2019,11.54
11/25/2019,11.87
11/22/2019,12.34
11/21/2019,13.13
11/20/2019,12.78
11/19/2019,12.86
11/18/2019,12.46
11/15/2019,12.05
11/14/2019,13.05
11/13/2019,13
11/12/2019,12.68
11/11/2019,12.69
11/8/2019,12.07
11/7/2019,12.73
11/6/2019,12.62
11/5/2019,13.1
11/4/2019,12.83
11/1/2019,12.3
10/31/2019,13.22
10/30/2019,12.33
10/29/2019,13.2
10/28/2019,13.11
10/25/2019,12.65
10/24/2019,13.71
10/23/2019,14.01
10/22/2019,14.46
10/21/2019,14
10/18/2019,14.25
10/17/2019,13.79
10/16/2019,13.68
10/15/2019,13.54
10/14/2019,14.57
10/11/2019,15.58
10/10/2019,17.57
10/9/2019,18.64
10/8/2019,20.28
10/7/2019,17.86
10/4/2019,17.04
10/3/2019,19.12
10/2/2019,20.56
10/1/2019,18.56
9/30/2019,16.24
9/27/2019,17.22
9/26/2019,16.07
9/25/2019,15.96
9/24/2019,17.05
9/23/2019,14.91
9/20/2019,15.32
9/19/2019,14.05
9/18/2019,13.95
9/17/2019,14.44
9/16/2019,14.67
9/13/2019,13.74
9/12/2019,14.22
9/11/2019,14.61
9/10/2019,15.2
9/9/2019,15.27
9/6/2019,15
9/5/2019,16.27
9/4/2019,17.33
9/3/2019,19.66
8/30/2019,18.98
8/29/2019,17.88
8/28/2019,19.35
8/27/2019,20.31
8/26/2019,19.32
8/23/2019,19.87
8/22/2019,16.68
8/21/2019,15.8
8/20/2019,17.5
8/19/2019,16.88
8/16/2019,18.47
8/15/2019,21.18
8/14/2019,22.1
8/13/2019,17.52
8/12/2019,21.09
8/9/2019,17.97
8/8/2019,16.91
8/7/2019,19.49
8/6/2019,20.17
8/5/2019,24.59
8/2/2019,17.61
8/1/2019,17.87
7/31/2019,16.12
7/30/2019,13.94
7/29/2019,12.83
7/26/2019,12.16
7/25/2019,12.74
7/24/2019,12.07
7/23/2019,12.61
7/22/2019,13.53
7/19/2019,14.45
7/18/2019,13.53
7/17/2019,13.97
7/16/2019,12.86
7/15/2019,12.68
7/12/2019,12.39
7/11/2019,12.93
7/10/2019,13.03
7/9/2019,14.09
7/8/2019,13.96
7/5/2019,13.28
7/3/2019,12.57
7/2/2019,12.93
7/1/2019,14.06
6/28/2019,15.08
6/27/2019,15.82
6/26/2019,16.21
6/25/2019,16.28
6/24/2019,15.26
6/21/2019,15.4
6/20/2019,14.75
6/19/2019,14.33
6/18/2019,15.15
6/17/2019,15.35
6/14/2019,15.28
6/13/2019,15.82
6/12/2019,15.91
6/11/2019,15.99
6/10/2019,15.94
6/7/2019,16.3
6/6/2019,15.93
6/5/2019,16.09
6/4/2019,16.97
6/3/2019,18.86
5/31/2019,18.71
5/30/2019,17.3
5/29/2019,17.9
5/28/2019,17.5
5/24/2019,15.85
5/23/2019,16.92
5/22/2019,14.75
5/21/2019,14.95
5/20/2019,16.31
5/17/2019,15.96
5/16/2019,15.29
5/15/2019,16.44
5/14/2019,18.06
5/13/2019,20.55
5/10/2019,16.04
5/9/2019,19.1
5/8/2019,19.4
5/7/2019,19.32
5/6/2019,15.44
5/3/2019,12.87
5/2/2019,14.42
5/1/2019,14.8
4/30/2019,13.12
4/29/2019,13.11
4/26/2019,12.73
4/25/2019,13.25
4/24/2019,13.14
4/23/2019,12.28
4/22/2019,12.42
4/18/2019,12.09
4/17/2019,12.6
4/16/2019,12.18
4/15/2019,12.32
4/12/2019,12.01
4/11/2019,13.02
4/10/2019,13.3
4/9/2019,14.28
4/8/2019,13.18
4/5/2019,12.82
4/4/2019,13.58
4/3/2019,13.74
4/2/2019,13.36
4/1/2019,13.4
3/29/2019,13.71
3/28/2019,14.43
3/27/2019,15.15
3/26/2019,14.68
3/25/2019,16.33
3/22/2019,16.48
3/21/2019,13.63
3/20/2019,13.91
3/19/2019,13.56
3/18/2019,13.1
3/15/2019,12.88
3/14/2019,13.5
3/13/2019,13.41
3/12/2019,13.77
3/11/2019,14.33
3/8/2019,16.05
3/7/2019,16.59
3/6/2019,15.74
3/5/2019,14.74
3/4/2019,14.63
3/1/2019,13.57
2/28/2019,14.78
2/27/2019,14.7
2/26/2019,15.17
2/25/2019,14.85
2/22/2019,13.51
2/21/2019,14.46
2/20/2019,14.02
2/19/2019,14.88
2/15/2019,14.91
2/14/2019,16.22
2/13/2019,15.65
2/12/2019,15.43
2/11/2019,15.97
2/8/2019,15.72
2/7/2019,16.37
2/6/2019,15.38
2/5/2019,15.57
2/4/2019,15.73
2/1/2019,16.14
1/31/2019,16.57
1/30/2019,17.66
1/29/2019,19.13
1/28/2019,18.87
1/25/2019,17.42
1/24/2019,18.89
1/23/2019,19.52
1/22/2019,20.8
1/18/2019,17.8
1/17/2019,18.06
1/16/2019,19.04
1/15/2019,18.6
1/14/2019,19.07
1/11/2019,18.19
1/10/2019,19.5
1/9/2019,19.98
1/8/2019,20.47
1/7/2019,21.4
1/4/2019,21.38
1/3/2019,25.45
1/2/2019,23.22
12/31/2018,25.42
12/28/2018,28.34
12/27/2018,29.96
12/26/2018,30.41
12/24/2018,36.07
12/21/2018,30.11
12/20/2018,28.38
12/19/2018,25.58
12/18/2018,25.58
12/17/2018,24.52
12/14/2018,21.63
12/13/2018,20.65
12/12/2018,21.46
12/11/2018,21.76
12/10/2018,22.64
12/7/2018,23.23
12/6/2018,21.19
12/4/2018,20.74
12/3/2018,16.44
11/30/2018,18.07
11/29/2018,18.79
11/28/2018,18.49
11/27/2018,19.02
11/26/2018,18.9
11/23/2018,21.52
11/21/2018,20.8
11/20/2018,22.48
11/19/2018,20.1
11/16/2018,18.14
11/15/2018,19.98
11/14/2018,21.25
11/13/2018,20.02
11/12/2018,20.45
11/9/2018,17.36
11/8/2018,16.72
11/7/2018,16.36
11/6/2018,19.91
11/5/2018,19.96
11/2/2018,19.51
11/1/2018,19.34
10/31/2018,21.23
10/30/2018,23.35
10/29/2018,24.7
10/26/2018,24.16
10/25/2018,24.22
10/24/2018,25.23
10/23/2018,20.71
10/22/2018,19.64
10/19/2018,19.89
10/18/2018,20.06
10/17/2018,17.4
10/16/2018,17.62
10/15/2018,21.3
10/12/2018,21.31
10/11/2018,24.98
10/10/2018,22.96
10/9/2018,15.95
10/8/2018,15.69
10/5/2018,14.82
10/4/2018,14.22
10/3/2018,11.61
10/2/2018,12.05
10/1/2018,12
9/28/2018,12.12
9/27/2018,12.41
9/26/2018,12.89
9/25/2018,12.42
9/24/2018,12.2
9/21/2018,11.68
9/20/2018,11.8
9/19/2018,11.75
9/18/2018,12.79
9/17/2018,13.68
9/14/2018,12.07
9/13/2018,12.37
9/12/2018,13.14
9/11/2018,13.22
9/10/2018,14.16
9/7/2018,14.88
9/6/2018,14.65
9/5/2018,13.91
9/4/2018,13.16
8/31/2018,12.86
8/30/2018,13.53
8/29/2018,12.25
8/28/2018,12.5
8/27/2018,12.16
8/24/2018,11.99
8/23/2018,12.41
8/22/2018,12.25
8/21/2018,12.86
8/20/2018,12.49
8/17/2018,12.64
8/16/2018,13.45
8/15/2018,14.64
8/14/2018,13.31
8/13/2018,14.78
8/10/2018,13.16
8/9/2018,11.27
8/8/2018,10.85
8/7/2018,10.93
8/6/2018,11.27
8/3/2018,11.64
8/2/2018,12.19
8/1/2018,13.15
7/31/2018,12.83
7/30/2018,14.26
7/27/2018,13.03
7/26/2018,12.14
7/25/2018,12.29
7/24/2018,12.41
7/23/2018,12.62
7/20/2018,12.86
7/19/2018,12.87
7/18/2018,12.1
7/17/2018,12.06
7/16/2018,12.83
7/13/2018,12.18
7/12/2018,12.58
7/11/2018,13.63
7/10/2018,12.64
7/9/2018,12.69
7/6/2018,13.37
7/5/2018,14.97
7/3/2018,16.14
7/2/2018,15.6
6/29/2018,16.09
6/28/2018,16.85
6/27/2018,17.91
6/26/2018,15.92
6/25/2018,17.33
6/22/2018,13.77
6/21/2018,14.64
6/20/2018,12.79
6/19/2018,13.35
6/18/2018,12.31
6/15/2018,11.98
6/14/2018,12.12
6/13/2018,12.94
6/12/2018,12.34
6/11/2018,12.35
6/8/2018,12.18
6/7/2018,12.13
6/6/2018,11.64
6/5/2018,12.4
6/4/2018,12.74
6/1/2018,13.46
5/31/2018,15.43
5/30/2018,14.94
5/29/2018,17.02
5/25/2018,13.22
5/24/2018,12.53
5/23/2018,12.58
5/22/2018,13.22
5/21/2018,13.08
5/18/2018,13.42
5/17/2018,13.43
5/16/2018,13.42
5/15/2018,14.63
5/14/2018,12.93
5/11/2018,12.65
5/10/2018,13.23
5/9/2018,13.42
5/8/2018,14.71
5/7/2018,14.75
5/4/2018,14.77
5/3/2018,15.9
5/2/2018,15.97
5/1/2018,15.49
4/30/2018,15.93
4/27/2018,15.41
4/26/2018,16.24
4/25/2018,17.84
4/24/2018,18.02
4/23/2018,16.34
4/20/2018,16.88
4/19/2018,15.96
4/18/2018,15.6
4/17/2018,15.25
4/16/2018,16.56
4/13/2018,17.41
4/12/2018,18.49
4/11/2018,20.24
4/10/2018,20.47
4/9/2018,21.77
4/6/2018,21.49
4/5/2018,18.94
4/4/2018,20.06
4/3/2018,21.1
4/2/2018,23.62
3/29/2018,19.97
3/28/2018,22.87
3/27/2018,22.5
3/26/2018,21.03
3/23/2018,24.87
3/22/2018,23.34
3/21/2018,17.86
3/20/2018,18.2
3/19/2018,19.02
3/16/2018,15.8
3/15/2018,16.59
3/14/2018,17.23
3/13/2018,16.35
3/12/2018,15.78
3/9/2018,14.64
3/8/2018,16.54
3/7/2018,17.76
3/6/2018,18.36
3/5/2018,18.73
3/2/2018,19.59
3/1/2018,22.47
2/28/2018,19.85
2/27/2018,18.59
2/26/2018,15.8
2/23/2018,16.49
2/22/2018,18.72
2/21/2018,20.02
2/20/2018,20.6
2/16/2018,19.46
2/15/2018,19.13
2/14/2018,19.26
2/13/2018,24.97
2/12/2018,25.61
2/9/2018,29.06
2/8/2018,33.46
2/7/2018,27.73
2/6/2018,29.98
2/5/2018,37.32
2/2/2018,17.31
2/1/2018,13.47
1/31/2018,13.54
1/30/2018,14.79
1/29/2018,13.84
1/26/2018,11.08
1/25/2018,11.58
1/24/2018,11.47
1/23/2018,11.1
1/22/2018,11.03
1/19/2018,11.27
1/18/2018,12.22
1/17/2018,11.91
1/16/2018,11.66
1/12/2018,10.16
1/11/2018,9.88
1/10/2018,9.82
1/9/2018,10.08
1/8/2018,9.52
1/5/2018,9.22
1/4/2018,9.22
1/3/2018,9.15
1/2/2018,9.77
12/29/2017,11.04
12/28/2017,10.18
12/27/2017,10.47
12/26/2017,10.25
12/22/2017,9.9
12/21/2017,9.62
12/20/2017,9.72
12/19/2017,10.03
12/18/2017,9.53
12/15/2017,9.42
12/14/2017,10.49
12/13/2017,10.18
12/12/2017,9.92
12/11/2017,9.34
12/8/2017,9.58
12/7/2017,10.16
12/6/2017,11.02
12/5/2017,11.33
12/4/2017,11.68
12/1/2017,11.43
11/30/2017,11.28
11/29/2017,10.7
11/28/2017,10.03
11/27/2017,9.87
11/24/2017,9.67
11/22/2017,9.88
11/21/2017,9.73
11/20/2017,10.65
11/17/2017,11.43
11/16/2017,11.76
11/15/2017,13.13
11/14/2017,11.59
11/13/2017,11.5
11/10/2017,11.29
11/9/2017,10.5
11/8/2017,9.78
11/7/2017,9.89
11/6/2017,9.4
11/3/2017,9.14
11/2/2017,9.93
11/1/2017,10.2
10/31/2017,10.18
10/30/2017,10.5
10/27/2017,9.8
10/26/2017,11.3
10/25/2017,11.23
10/24/2017,11.16
10/23/2017,11.07
10/20/2017,9.97
10/19/2017,10.05
10/18/2017,10.07
10/17/2017,10.31
10/16/2017,9.91
10/13/2017,9.61
10/12/2017,9.91
10/11/2017,9.85
10/10/2017,10.08
10/9/2017,10.33
10/6/2017,9.65
10/5/2017,9.19
10/4/2017,9.63
10/3/2017,9.51
10/2/2017,9.45
9/29/2017,9.51
9/28/2017,9.55
9/27/2017,9.87
9/26/2017,10.17
9/25/2017,10.21
9/22/2017,9.59
9/21/2017,9.67
9/20/2017,9.78
9/19/2017,10.18
9/18/2017,10.15
9/15/2017,10.17
9/14/2017,10.44
9/13/2017,10.5
9/12/2017,10.58
9/11/2017,10.73
9/8/2017,12.12
9/7/2017,11.55
9/6/2017,11.63
9/5/2017,12.23
9/1/2017,10.13
8/31/2017,10.59
8/30/2017,11.22
8/29/2017,11.7
8/28/2017,11.32
8/25/2017,11.28
8/24/2017,12.23
8/23/2017,12.25
8/22/2017,11.35
8/21/2017,13.19
8/18/2017,14.26
8/17/2017,15.55
8/16/2017,11.74
8/15/2017,12.04
8/14/2017,12.33
8/11/2017,15.51
8/10/2017,16.04
8/9/2017,11.11
8/8/2017,10.96
8/7/2017,9.93
8/4/2017,10.03
8/3/2017,10.44
8/2/2017,10.28
8/1/2017,10.09
7/31/2017,10.26
7/28/2017,10.29
7/27/2017,10.11
7/26/2017,9.6
7/25/2017,9.43
7/24/2017,9.43
7/21/2017,9.36
7/20/2017,9.58
7/19/2017,9.79
7/18/2017,9.89
7/17/2017,9.82
7/14/2017,9.51
7/13/2017,9.9
7/12/2017,10.3
7/11/2017,10.89
7/10/2017,11.11
7/7/2017,11.19
7/6/2017,12.54
7/5/2017,11.07
7/3/2017,11.22
6/30/2017,11.18
6/29/2017,11.44
6/28/2017,10.03
6/27/2017,11.06
6/26/2017,9.9
6/23/2017,10.02
6/22/2017,10.48
6/21/2017,10.75
6/20/2017,10.86
6/19/2017,10.37
6/16/2017,10.38
6/15/2017,10.9
6/14/2017,10.64
6/13/2017,10.42
6/12/2017,11.46
6/9/2017,10.7
6/8/2017,10.16
6/7/2017,10.39
6/6/2017,10.45
6/5/2017,10.07
6/2/2017,9.75
6/1/2017,9.89
5/31/2017,10.41
5/30/2017,10.38
5/26/2017,9.81
5/25/2017,9.99
5/24/2017,10.02
5/23/2017,10.72
5/22/2017,10.93
5/19/2017,12.04
5/18/2017,14.66
5/17/2017,15.59
5/16/2017,10.65
5/15/2017,10.42
5/12/2017,10.4
5/11/2017,10.6
5/10/2017,10.21
5/9/2017,9.96
5/8/2017,9.77
5/5/2017,10.57
5/4/2017,10.46
5/3/2017,10.68
5/2/2017,10.59
5/1/2017,10.11
4/28/2017,10.82
4/27/2017,10.36
4/26/2017,10.85
4/25/2017,10.76
4/24/2017,10.84
4/21/2017,14.63
4/20/2017,14.15
4/19/2017,14.93
4/18/2017,14.42
4/17/2017,14.66
4/13/2017,15.96
4/12/2017,15.77
4/11/2017,15.07
4/10/2017,14.05
4/7/2017,12.87
4/6/2017,12.39
4/5/2017,12.89
4/4/2017,11.79
4/3/2017,12.38
3/31/2017,12.37
3/30/2017,11.54
3/29/2017,11.42
3/28/2017,11.53
3/27/2017,12.5
3/24/2017,12.96
3/23/2017,13.12
3/22/2017,12.81
3/21/2017,12.47
3/20/2017,11.34
3/17/2017,11.28
3/16/2017,11.21
3/15/2017,11.63
3/14/2017,12.3
3/13/2017,11.35
3/10/2017,11.66
3/9/2017,12.3
3/8/2017,11.86
3/7/2017,11.45
3/6/2017,11.24
3/3/2017,10.96
3/2/2017,11.81
3/1/2017,12.54
2/28/2017,12.92
2/27/2017,12.09
2/24/2017,11.47
2/23/2017,11.71
2/22/2017,11.74
2/21/2017,11.57
2/17/2017,11.49
2/16/2017,11.76
2/15/2017,11.97
2/14/2017,10.74
2/13/2017,11.07
2/10/2017,10.85
2/9/2017,10.88
2/8/2017,11.45
2/7/2017,11.29
2/6/2017,11.37
2/3/2017,10.97
2/2/2017,11.93
2/1/2017,11.81
1/31/2017,11.99
1/30/2017,11.88
1/27/2017,10.58
1/26/2017,10.63
1/25/2017,10.81
1/24/2017,11.07
1/23/2017,11.77
1/20/2017,11.54
1/19/2017,12.78
1/18/2017,12.48
1/17/2017,11.87
1/13/2017,11.23
1/12/2017,11.54
1/11/2017,11.26
1/10/2017,11.49
1/9/2017,11.56
1/6/2017,11.32
1/5/2017,11.67
1/4/2017,11.85
1/3/2017,12.85
12/30/2016,14.04
12/29/2016,13.37
12/28/2016,12.95
12/27/2016,11.99
12/23/2016,11.44
12/22/2016,11.43
12/21/2016,11.27
12/20/2016,11.45
12/19/2016,11.71
12/16/2016,12.2
12/15/2016,12.79
12/14/2016,13.19
12/13/2016,12.72
12/12/2016,12.64
12/9/2016,11.75
12/8/2016,12.64
12/7/2016,12.22
12/6/2016,11.79
12/5/2016,12.14
12/2/2016,14.12
12/1/2016,14.07
11/30/2016,13.33
11/29/2016,12.9
11/28/2016,13.15
11/25/2016,12.34
11/23/2016,12.43
11/22/2016,12.41
11/21/2016,12.42
11/18/2016,12.85
11/17/2016,13.35
11/16/2016,13.72
11/15/2016,13.37
11/14/2016,14.48
11/11/2016,14.17
11/10/2016,14.74
11/9/2016,14.38
11/8/2016,18.74
11/7/2016,18.71
11/4/2016,22.51
11/3/2016,22.08
11/2/2016,19.32
11/1/2016,18.56
10/31/2016,17.06
10/28/2016,16.19
10/27/2016,15.36
10/26/2016,14.24
10/25/2016,13.46
10/24/2016,13.02
10/21/2016,13.34
10/20/2016,13.75
10/19/2016,14.41
10/18/2016,15.28
10/17/2016,16.21
10/14/2016,16.12
10/13/2016,16.69
10/12/2016,15.91
10/11/2016,15.36
10/10/2016,13.38
10/7/2016,13.48
10/6/2016,12.84
10/5/2016,12.99
10/4/2016,13.63
10/3/2016,13.57
9/30/2016,13.29
9/29/2016,14.02
9/28/2016,12.39
9/27/2016,13.1
9/26/2016,14.5
9/23/2016,12.29
9/22/2016,12.02
9/21/2016,13.3
9/20/2016,15.92
9/19/2016,15.53
9/16/2016,15.37
9/15/2016,16.3
9/14/2016,18.14
9/13/2016,17.85
9/12/2016,15.16
9/9/2016,17.5
9/8/2016,12.51
9/7/2016,11.94
9/6/2016,12.02
9/2/2016,11.98
9/1/2016,13.48
8/31/2016,13.42
8/30/2016,13.12
8/29/2016,12.94
8/26/2016,13.65
8/25/2016,13.63
8/24/2016,13.45
8/23/2016,12.38
8/22/2016,12.27
8/19/2016,11.34
8/18/2016,11.43
8/17/2016,12.19
8/16/2016,12.64
8/15/2016,11.81
8/12/2016,11.55
8/11/2016,11.68
8/10/2016,12.05
8/9/2016,11.66
8/8/2016,11.5
8/5/2016,11.39
8/4/2016,12.42
8/3/2016,12.86
8/2/2016,13.37
8/1/2016,12.44
7/29/2016,11.87
7/28/2016,12.72
7/27/2016,12.83
7/26/2016,13.05
7/25/2016,12.87
7/22/2016,12.02
7/21/2016,12.74
7/20/2016,11.77
7/19/2016,11.97
7/18/2016,12.44
7/15/2016,12.67
7/14/2016,12.82
7/13/2016,13.04
7/12/2016,13.55
7/11/2016,13.54
7/8/2016,13.2
7/7/2016,14.76
7/6/2016,14.96
7/5/2016,15.58
7/1/2016,14.77
6/30/2016,15.63
6/29/2016,16.64
6/28/2016,18.75
6/27/2016,23.85
6/24/2016,25.76
6/23/2016,17.25
6/22/2016,21.17
6/21/2016,18.48
6/20/2016,18.37
6/17/2016,19.41
6/16/2016,19.37
6/15/2016,20.14
6/14/2016,20.5
6/13/2016,20.97
6/10/2016,17.03
6/9/2016,14.64
6/8/2016,14.08
6/7/2016,14.05
6/6/2016,13.65
6/3/2016,13.47
6/2/2016,13.63
6/1/2016,14.2
5/31/2016,14.19
5/27/2016,13.12
5/26/2016,13.43
5/25/2016,13.9
5/24/2016,14.42
5/23/2016,15.82
5/20/2016,15.2
5/19/2016,16.33
5/18/2016,15.95
5/17/2016,15.57
5/16/2016,14.68
5/13/2016,15.04
5/12/2016,14.41
5/11/2016,14.69
5/10/2016,13.63
5/9/2016,14.57
5/6/2016,14.72
5/5/2016,15.91
5/4/2016,16.05
5/3/2016,15.6
5/2/2016,14.68
4/29/2016,15.7
4/28/2016,15.22
4/27/2016,13.77
4/26/2016,13.96
4/25/2016,14.08
4/22/2016,13.22
4/21/2016,13.95
4/20/2016,13.28
4/19/2016,13.24
4/18/2016,13.35
4/15/2016,13.62
4/14/2016,13.72
4/13/2016,13.84
4/12/2016,14.85
4/11/2016,16.26
4/8/2016,15.36
4/7/2016,16.16
4/6/2016,14.09
4/5/2016,15.42
4/4/2016,14.12
4/1/2016,13.1
3/31/2016,13.95
3/30/2016,13.56
3/29/2016,13.82
3/28/2016,15.24
3/24/2016,14.74
3/23/2016,14.94
3/22/2016,14.17
3/21/2016,13.79
3/18/2016,14.02
3/17/2016,14.44
3/16/2016,14.99
3/15/2016,16.84
3/14/2016,16.92
3/11/2016,16.5
3/10/2016,18.05
3/9/2016,18.34
3/8/2016,18.67
3/7/2016,17.35
3/4/2016,16.86
3/3/2016,16.7
3/2/2016,17.09
3/1/2016,17.7
2/29/2016,20.55
2/26/2016,19.81
2/25/2016,19.11
2/24/2016,20.72
2/23/2016,20.98
2/22/2016,19.38
2/19/2016,20.53
2/18/2016,21.64
2/17/2016,22.31
2/16/2016,24.11
2/12/2016,25.4
2/11/2016,28.14
2/10/2016,26.29
2/9/2016,26.54
2/8/2016,26
2/5/2016,23.38
2/4/2016,21.84
2/3/2016,21.65
2/2/2016,21.98
2/1/2016,19.98
1/29/2016,20.2
1/28/2016,22.42
1/27/2016,23.11
1/26/2016,22.5
1/25/2016,24.15
1/22/2016,22.34
1/21/2016,26.69
1/20/2016,27.59
1/19/2016,26.05
1/15/2016,27.02
1/14/2016,23.95
1/13/2016,25.22
1/12/2016,22.47
1/11/2016,24.3
1/8/2016,27.01
1/7/2016,24.99
1/6/2016,20.59
1/5/2016,19.34
1/4/2016,20.7
12/31/2015,18.21
12/30/2015,17.29
12/29/2015,16.08
12/28/2015,16.91
12/24/2015,15.74
12/23/2015,15.57
12/22/2015,16.6
12/21/2015,18.7
12/18/2015,20.7
12/17/2015,18.94
12/16/2015,17.86
12/15/2015,20.95
12/14/2015,22.73
12/11/2015,24.39
12/10/2015,19.34
12/9/2015,19.61
12/8/2015,17.6
12/7/2015,15.84
12/4/2015,14.81
12/3/2015,18.11
12/2/2015,15.91
12/1/2015,14.67
11/30/2015,16.13
11/27/2015,15.12
11/25/2015,15.19
11/24/2015,15.93
11/23/2015,15.62
11/20/2015,15.47
11/19/2015,16.99
11/18/2015,16.85
11/17/2015,18.84
11/16/2015,18.16
11/13/2015,20.08
11/12/2015,18.37
11/11/2015,16.06
11/10/2015,15.29
11/9/2015,16.52
11/6/2015,14.33
11/5/2015,15.05
11/4/2015,15.51
11/3/2015,14.54
11/2/2015,14.15
10/30/2015,15.07
10/29/2015,14.61
10/28/2015,14.33
10/27/2015,15.43
10/26/2015,15.29
10/23/2015,14.46
10/22/2015,14.45
10/21/2015,16.7
10/20/2015,15.75
10/19/2015,14.98
10/16/2015,15.05
10/15/2015,16.05
10/14/2015,18.03
10/13/2015,17.67
10/12/2015,16.17
10/9/2015,17.08
10/8/2015,17.42
10/7/2015,18.4
10/6/2015,19.4
10/5/2015,19.54
10/2/2015,20.94
10/1/2015,22.55
9/30/2015,24.5
9/29/2015,26.83
9/28/2015,27.63
9/25/2015,23.62
9/24/2015,23.47
9/23/2015,22.13
9/22/2015,22.44
9/21/2015,20.14
9/18/2015,22.28
9/17/2015,21.14
9/16/2015,21.35
9/15/2015,22.54
9/14/2015,24.25
9/11/2015,23.2
9/10/2015,24.37
9/9/2015,26.23
9/8/2015,24.9
9/4/2015,27.8
9/3/2015,25.61
9/2/2015,26.09
9/1/2015,31.4
8/31/2015,28.43
8/28/2015,26.05
8/27/2015,26.1
8/26/2015,30.32
8/25/2015,36.02
8/24/2015,40.74
8/21/2015,28.03
8/20/2015,19.14
8/19/2015,15.25
8/18/2015,13.79
8/17/2015,13.02
8/14/2015,12.83
8/13/2015,13.49
8/12/2015,13.61
8/11/2015,13.71
8/10/2015,12.23
8/7/2015,13.39
8/6/2015,13.77
8/5/2015,12.51
8/4/2015,13
8/3/2015,12.56
7/31/2015,12.12
7/30/2015,12.13
7/29/2015,12.5
7/28/2015,13.44
7/27/2015,15.6
7/24/2015,13.74
7/23/2015,12.64
7/22/2015,12.12
7/21/2015,12.22
7/20/2015,12.25
7/17/2015,11.95
7/16/2015,12.11
7/15/2015,13.23
7/14/2015,13.37
7/13/2015,13.9
7/10/2015,16.83
7/9/2015,19.97
7/8/2015,19.66
7/7/2015,16.09
7/6/2015,17.01
7/2/2015,16.79
7/1/2015,16.09
6/30/2015,18.23
6/29/2015,18.85
6/26/2015,14.02
